Amostra,Sa (Âµm)  ,Sq,Sz,Ssk,Sku
jac_50_P0.01,0.3754,0.4565,2.6813,0.5106,2.6118
jac_50_P0.02,0.3726,0.4543,2.6405,0.4773,2.5816
jac_100_P0.01,0.3638,0.4446,6.1994,0.4515,3.2588
jac_100_P0.02,0.3725,0.4536,2.7589,0.5239,2.6679
jdr_50_P0.01,1.4853,1.9696,13.1001,-1.5745,6.3871
jdr_50_P0.02,1.4877,1.966,12.8894,-1.6002,6.4287
jdr_100_P0.01,1.657,2.1617,11.8276,-1.6087,5.7753
jdr_100_P0.02,1.4941,1.9671,13.024,-1.5503,6.2849
jf_50_P0.01,1.1597,1.9882,12.6838,-3.4248,16.2881
jf_50_P0.02,1.185,2.0211,12.5234,-3.3558,15.5964
jf_100_P0.01,1.0674,1.753,11.9452,-3.3036,16.1384
jf_100_P0.02,1.09,1.7935,11.9512,-3.281,15.7829
jm_50_P0.01,0.5232,0.6731,10.1384,-1.0081,6.7692
jm_50_P0.02,0.5349,0.6959,10.2531,-1.319,10.4783
jm_100_P0.01,0.5324,0.6888,10.2676,-1.1098,7.3016
jm_100_P0.02,0.5327,0.6874,10.1455,-1.0894,7.5212